"","Beta","Type","Bias","RMSE","MSE","Estimates_se","Simulation_se","group"
"1",1,"MLE",0.00451894590201648,0.062172824233262,0.00386546007314009,0.0911359790916052,0.0931674336287684,"positive"
"2",0.75,"MLE",0.00636349931097583,0.0539313813591758,0.00290859389530886,0.0819524859436929,0.0815776631833667,"positive"
"3",0.5,"MLE",0.00364922342510785,0.0511865849901674,0.00262006648295564,0.0727104133376518,0.0754743153216669,"positive"
"4",0.25,"MLE",0.00248734989419377,0.0428620572870835,0.00183715595488122,0.0660812654161477,0.0644243668398834,"positive"
"5",0,"MLE",-0.00419517280730927,0.0411281746678517,0.00169152675150932,0.0633647273428884,0.0614497130652054,"positive"
"6",-0.25,"MLE",-0.00079809682164118,0.0408459080906649,0.00166838820775104,0.0615413430642164,0.0618188750833966,"positive"
"7",-0.5,"MLE",0.000264384210913547,0.0435484196604893,0.00189646485492609,0.0632166305213323,0.062879799396526,"positive"
"8",-0.75,"MLE",-0.00143984823775909,0.0458572948300958,0.00210289148913433,0.0666807964586608,0.0659750953687192,"positive"
"9",-1,"MLE",-0.000671155470728874,0.0506598790074123,0.00256642334104566,0.0715865219653051,0.0730694405395916,"positive"
"10",1,"IPW",0.00533195353193181,0.0648505945114609,0.00420559960848993,0.0935523899628999,0.0956252063193483,"positive"
"11",0.75,"IPW",0.00582275467656528,0.0572216142291774,0.0032743131349928,0.0837729870083672,0.082614567211227,"positive"
"12",0.5,"IPW",0.0036949631486476,0.05157483151536,0.00265996324583777,0.0735298338289157,0.0764005480249121,"positive"
"13",0.25,"IPW",0.00225753868765958,0.0430131893944164,0.00185013446187993,0.0664154764688459,0.064448861590642,"positive"
"14",0,"IPW",-0.00426304438163749,0.0409632001570847,0.00167798376710938,0.0635891233012277,0.0614458163386347,"positive"
"15",-0.25,"IPW",-0.000961965883606261,0.0410364269034854,0.0016839883330051,0.0619979799568193,0.0622135939382709,"positive"
"16",-0.5,"IPW",0.000102811439037414,0.042223803516542,0.00178284958340354,0.0648916397146659,0.063952593131121,"positive"
"17",-0.75,"IPW",-0.00326358087647642,0.0471350743207217,0.00222171523121996,0.0703194302036179,0.0704555102719991,"positive"
"18",-1,"IPW",-0.00210995719377578,0.0533149876966636,0.00284248791309539,0.0776723671547836,0.0796544020803414,"positive"
