"","Beta","Type","Bias","RMSE","MSE","Estimates_se","Simulation_se","case","RMSE_scale"
"1",2,"MLE",0.0319992871850227,0.111980739449608,0.012539686007681,0.149353599146736,0.169140162339291,350,0.00423247411732547
"2",1.5,"MLE",0.0169186338467904,0.0818665078756191,0.00670212511174881,0.118789303682789,0.121984436379023,350,0.00309426315063141
"3",1,"MLE",0.00369390238334412,0.0624081831184026,0.00389478132014007,0.0947855114021252,0.0942021025356399,350,0.00235880760438104
"4",0.5,"MLE",0.00338804516763591,0.0560094199251498,0.00313705512035177,0.0820778855222612,0.083212903310451,350,0.00211695708855618
"5",0,"MLE",8.23800415474833e-05,0.0528773592987964,0.00279601512641401,0.0765932912053119,0.07937449629499,350,0.00199857632414891
"6",-0.5,"MLE",-0.00479409332836332,0.0534305019459122,0.00285481853819213,0.0809339409673853,0.0834788488982852,350,0.00201948315106052
"7",-1,"MLE",-0.00506299404569587,0.0683684234884338,0.00467424133029382,0.0923995950396699,0.0928517709523081,350,0.00258408351542776
"8",-1.5,"MLE",-0.0107143627478768,0.0770100220954871,0.0059305435031474,0.114251770571581,0.117506901000888,350,0.00291070524177497
"9",-2,"MLE",-0.0147872385574468,0.0973487401716353,0.00947677721300457,0.143013082868307,0.140868706539204,350,0.00367943652770843
"10",2,"IPW",0.0659515742813836,0.15761226426436,0.0248416258465384,0.197615115488444,0.244682281704486,350,0.00595718364024698
"11",1.5,"IPW",0.0350347917657898,0.118994045271501,0.014159582810076,0.152304014057723,0.177681123654642,350,0.0044975521612279
"12",1,"IPW",0.0128728424769886,0.0790140033806371,0.00624321273023534,0.114213007309452,0.119170511650521,350,0.00298644861481118
"13",0.5,"IPW",0.00759345187172049,0.059624321486216,0.00355505971269164,0.0873797783546,0.0874638029512966,350,0.00225358752490704
"14",0,"IPW",1.09847797495076e-05,0.0537907755893803,0.00289344753850707,0.0770880830917747,0.0801941412585753,350,0.00203310021483977
"15",-0.5,"IPW",-0.0045535657993016,0.0564038661474117,0.00318139611637514,0.085972702655954,0.0882232006936004,350,0.00213186575440895
"16",-1,"IPW",-0.013508554981561,0.074720454060137,0.00558314625495305,0.109651947215277,0.113597656360103,350,0.00282416770418499
"17",-1.5,"IPW",-0.0269371367983611,0.106221357504244,0.0112829767900444,0.147118086110205,0.155296013922146,350,0.00401478994114163
"18",-2,"IPW",-0.0448799777194438,0.156628706363398,0.0245325516570716,0.18880945786902,0.222712545190666,350,0.00592000864587587
